Section,Item ID,Item,Previous status,Live verdict 2026-08-21,Evidence,LLM excluded?,Notes
Executive Summary,Repository/runtime,Repository/runtime,BLOCKED,PASS,main deploy live; /api/ready ok=True,N,
Executive Summary,Production endpoint,Production endpoint,PARTIAL,PASS,https://hrmny-os.vercel.app ready+routes,N,
Executive Summary,Creative Hub,Creative Hub,ADDED CHANGE REQUEST — NOT COMPLETE,PARTIAL,/creative HTTP 200 + UI shipped; LLM image gen deferred,Y,Skip LLM deep test
Executive Summary,Canva,Canva,STUB — NOT ORIGINAL SOW,STUB / OUT OF SCOPE,Not launch-critical stub,N,
Executive Summary,Native Work/task core,Native Work/task core,HEAD EVIDENCE,PASS_ROUTE_AUTH_GATED,/work /tasks live auth-gated; CRM tasks in postgres,N,SSO for click-path
Executive Summary,Supervisor task role,Supervisor task role,FAIL,BLOCKED,No multi-user SSO session in agent run,N,Needs @hrmny.co
Executive Summary,RAG foundation,RAG foundation,PARTIAL,SKIP_LLM,Embeddings/RAG excluded by request,Y,
Executive Summary,Feature catalogue,Feature catalogue,PARTIAL,PARTIAL,Master features AVAILABLE/BETA; live routes retested,N,
Executive Summary,Automated checks,Automated checks,AUTOMATED CHECKS PASS — LINT CAVEAT,PASS,PR #63/#64 merged; Vercel Production READY,N,
Executive Summary,M1 payment gate,M1 payment gate PARTIAL Authenticated production browser verification found working M1 surfaces plus two missing deploye,PARTIAL,PASS,https://hrmny-os.vercel.app ready+routes,N,
Executive Summary,Sign-off,Sign-off,NOT CONFIRMED SIGNED,BLOCKED,Human owner sign-off required,N,
Routes & APIs,PAGE-004,Page /admin/features,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-003,Page /admin/audit,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-007,Page /benefits,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-001,Page /,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-002,Page /account,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-005,Page /admin/work,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-008,Page /billing,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-013,Page /crm,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-012,Page /creative,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-014,Page /crm/activities,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-011,Page /conventions,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-015,Page /crm/companies,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-016,Page /crm/contacts,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-017,Page /crm/deals,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-022,Page /crm/seams,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-020,Page /crm/outreach,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-019,Page /crm/inbound,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-023,Page /crm/tasks,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-024,Page /dashboards,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-021,Page /crm/quote,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-029,Page /hr,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-025,Page /delivery,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-026,Page /finance,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-030,Page /login,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-034,Page /people,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-033,Page /payroll,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-032,Page /my-card,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
Routes & APIs,PAGE-036,Page /portal/approvals,BLOCKED,PASS,HTTP 200,N,Auth-gated pages count as live if 200 shell or 401 API
